user,rating,date,region,review
frank,1,"August 14, 2019",Reviewed in the United States,"There are better, less expensive products out there for reading."
AO,5,"March 24, 2020",Reviewed in the United States,"This was my first Kindle purchase. Didn’t know what to expect. I’d used the app before but an actual Kindle doesn’t really compare. Took me a while to choose the right one and although the price for the Oasis is significantly higher, the two features that sold me were the page turn buttons (although I switched their functions) and the warm light. I was unaware of the e-ink technology but find it pleasing. It did take me a minute to get used to the flashing sometimes but now I understand it’s not a defect but rather a feature of the technology. I also stupidly thought the image on the screen when I opened the box was a sticker and spent a few seconds trying to peel it off. Learned that the technology doesn’t require any battery power to keep an image on the screen once the e-ink has drawn it. Nifty. I had resisted going electronic with books for years but what finally did it for me was a chunk of hair that was hidden and mashed in between some pages of a book I ordered off Amazon. I promptly threw the book away, continued reading it on the app on my iPad and began looking at Kindles. I’m glad I did. I love the Oasis. Special mention for the battery life. It lasts for weeks, especially if you turn on airplane mode when you don’t need the extra features."
"M.L. Powers, MS",2,"October 26, 2019",Reviewed in the United States,"Because of all the features it SAID it offered, and to not contribute to the destruction of more of our forests.My new  device is  defective,  does not work as advertised, which is actually fraud under WA Law.  Am battling Amazon for fair price of return of the device.1.  The tool bar does not respond to touch.2.  My device will not work with my private wifi network, nor...3.  will it ""go back"" from a page or return to ""home when tapped.4. It sticks on certain pages, and must restart Kindle.5. The battery life is much less than advertised/promoted.I  did not try to set up the Oasis until Oct. 23rd. which was past the 30 day return. because I was out of WA state.I have spent 1 week of hours with 10 people to figure out problem, 2 of which promised a 100% return.  I called to set up the UPS return, the agent in South Africa, said I would receive only only 80% return b/c of restocking fee, or because under warranty, would exchange for a REFURBISHED ONE.  Interesting that they already have ones  they had to refurbish...I was so excited:  my first e-reader! Foolish me, I did not read complaints  b/c I pre-ordered  Shame on Bezos.  I recommend everyone read the Technology Edition of The Atlantic Monthly on Jeff Bezos and Amazon."
Susan,1,"December 12, 2020",Reviewed in the United States,"WHY WAS MY $300+ KINDLE OASIS DELIVERED IN A PLASTIC BAG?!? A THREE HUNDRED DOLLAR KINDLE OASIS DELIVERED IN A CHEAPO WHITE PLASTIC BAG!I DON'T CARE IF IT CAME FROM THE DISTRIBUTION CENTER IN MY TOWN.I'VE BOUGHT UNDERWEAR FROM YOU GUYS THAT WAS PACKED SAFER!YOU SHOW DISRESPECT FOR YOUR CUSTOMERS HARD EARNED MONEY BY PLAYING ON-THE-CHEAP WITH SHIPPING FOR HIGHER-END PRODUCTS.* I will be editing this post, with a review of the actual Kindle Oasis, in a few days."
astateprincess,5,"August 21, 2019",Reviewed in the United States,"I love reading, and I’ve missed having buttons since I upgraded from a kindle keyboard to a paper white 7 years ago.  I’m ambidextrous so it’s great that you can hold in either hand.  I’m in to alternative medicine, and I think blue light causes my migraines.  I wear blue light blocking glasses at work and have my iPhone set to change to warm light at 6 pm.  As I go to bed reading every night, I believe the warm light has decreased my migraines and helped me sleep better.  I’m disappointed that I had to charge it after 2 weeks, but hoping it was just new use and that it will last longer on this charge.  I also reversed the page turn buttons, I thought it was weird to have to use the top button to turn forward.  If this had not been an option, I probably would have returned the kindle oasis and gotten a new paper white."
LN,3,"January 4, 2020",Reviewed in the United States,"ANOTHER UPDATE:I contacted customer service again this time through chat after rechecking the device warranty page.  It does in fact come with a 1 year warranty and Amazon is sending a free replacement.  I still don't like the fact that the screen cracked but at least Amazon addressed the issue.UPDATE:I've had the kindle since Nov 2019.  I was happy with it.  One of the selling points of an ereader is the ability to read outdoors and this model in particular is waterproof.  The first time I used the e-reader for a few hours in the hot sun it got so hot I could no longer use it.  I placed it in my tote that only had a towel in it.  When I went to read it later, the screen was cracked.  It wasn't dropped, it wasn't banged up.  Just cracked.  As mentioned below I have many other Kindles and have used them for years.  Carried in backpacks, suitcases etc.  Never a problem.  I've read in more recent reviews that this model has a problem with screen cracking.  I would agree.  When I contacted customer service they said since I was outside of the 3 month warranty (not a year?) there was nothing they could do except offer me 15% off a new one.  No options for repair at all.DO NOT BUY THE KINDLE OASIS until a new version with a better screen is available.Finally the e-reader I've been looking for.  I own a non-Kindle brand, a Kindle Touch and an older model Kindle Paperwhite.  This has my favorite features of each of those plus more.  I love the option of buttons for page turning and touch mode, I no longer have to worry about gloves or lotions getting in the way.  I can flip easily from between reading left and right sided reading, making drinking coffee and reading easy.  The waterproofing means poolside reading isn't a worry.  Plus my new favorite feature, amber reading at bedtime.  All this plus the ease of using Amazon's Kindle features and benefits.  I'm happy with battery life, as with my other Kindles I keep it in airplane mode unless downloading books."
L.A. Blu,4,"January 2, 2020",Reviewed in the United States,"The Oasis is very nice, but I prefer the Kindle Keyboard 3G, Free 3G + Wi-Fi, 6"" E Ink Display model. AMAZON, will you EVER bring this model back? Please?(My Kindle Keyboard 3G, Free 3G + Wi-Fi, 6"" E Ink Display was 9+ years old - I dropped it [from only 1-1/2-feet high] on a ceramic tile floor and the screen broke. The screen is now permanently 1/3 screen saver whether on/off.  It fit in  my purse and/or pocket perfectly and had buttons for left or right handed page turning. It was simple and PERFECT and more like a REAL book)The Oasis is just too big and I do not like the lighting or the touch screen - at all. The touch screen to far too sensitive - constantly losing/searching for my page. The blanket or the dog's whiskers barely touch the edge of the screen and the pages are turning.  The auto page rotation drives me nuts. The unit feels 'slippery' - there's no texture to it at all - it's hard to hold onto.The leather case (which is 1/2 plastic) doesn't help much - it's flimsy and cheap - definitely not worth $50.00The Kindle Fire was a total waste of money.There's a lot of Bells & Whistles on the Oasis, which is great if you like Bells & Whistles (why I give it 4-stars), but I prefer to keep it simple with a unit like the Kindle Keyboard 3G, Free 3G + Wi-Fi, 6"" E Ink Display model - it was closer to reading a REAL book."
dontpanic42,4,"January 11, 2021",Reviewed in the United States,"I really love the concept of this kindle.  I love the warm light and button features which maybe justifies the cost, initially.  The warm light it especially a boon if you share a bed with someone who falls asleep before you.  The light it very customizable so as not to bother your eyes or people near you.  The ergonomic design and buttons are another benefit of the Oasis.  I purchased a case because the metal of the kindle is cold.  I do wish the backing was the same as traditional Kindle, the soft rubber stuff, but it’s a personal preference.The Oasis is almost completely wonderful.  But, for the money, the battery life is a major reading buzz kill.  My old Kindle 4 had weeks of battery life.  Weeks!  This has a few days at best.  Don’t expect long battery life if you’re a voracious reader.  Expect to plan charging frequently.  You can experiment with light settings and WiFi settings to see if it helps your battery life but I’ve not found significant differences."
Kindle Customer,5,"March 25, 2021",Reviewed in the United States,"This my third e-reader. The previous one was a 7th-gen Kindle. That was good, but the screen was too small, the backlighting inadequate, the pages too slow to turn, and I didn’t like swiping. All these features are fixed in the Oasis. The buttons turn pages instantly, the screen lighting is perfect, and the screen is the minimum I like for extended reading. It’s lightweight. It’s great!And it has the standard Kindle long-storage battery and high resolution.I look forward to a further version that is closer in size to a paperback book, but will happily use this until then."
Kaniki,3,"June 4, 2021",Reviewed in the United States,"I like the new kindle oasis because of the backlighting (means I can read while my husband sleeps).  However, the battery life is just over two days if you delete the wi-fi info.  If you have the wi-fi data input, you cannot turn it off and on so then the battery lasts only about a day and a half.  Using airplane mode does not extend the battery much.  Really disappointing since I read for about two to six hours a day.  So that means at the most, the battery lasts 12 hours without recharging.  Again, really disappointed with the battery.  My first kindle battery lasted a month (without wi-fi on)."
Ronald L. Babb,4,"December 26, 2019",Reviewed in the United States,"I replaced my Voyage with the new Oasis.  The ability to choose a warm background for the text is a game changer.  I loved my Voyage, it has traveled the world with me, but really like my Oasis.  I have seen several write of very short battery life and at first I thought I was seeing that also.  Then I realized it was downloading my library, as I had instructed, in the background.  Once that was done it seems to have battery life equivalent to what I saw with my Voyage.  So far I have few complaints.  My next Kindle ereader  i think I will order ad free.Amazon has gotten more aggressive with their advertising and I am a bit put off by it.After using the Oasis for a few months I decided to amend my review.  It is too big.  It won’t find in jacket pockets, Jean pockets or anything I normally wear.  I cannot take it with me as I have always done with my Voyage.  I still carry my Voyage, the Oasis stays home.  It is more like a hard back book, not really good for travel. Perhaps a nice Paperwhite would be a better choice.  The Oasis stays on the nightstand."
Beauty Star,5,"October 20, 2020",Reviewed in the United States,"This is an outstanding kindle. The screen is easy on the eyes. I purchased the gold color for myself and the graphite as a gift. I love that you have the option of turning the pages with the up (forward) or down ((backward) buttons. You also have the choice of touching the bottom of screen on left or right side of screen for turning pages forward or backwards. To get to menus just swipe.across top of screen. I haven’t owned device long enough to comment on battery life. The only complaint I have is the ergonomic grip. I’m not a fan of the ergonomic grip but I found the remedy for this by purchasing a case that conceals the bulky grip by placing Kindle inside the plastic holder in back of cover that has a smooth flat back. I purchased 32 GB without ads and with WiFi. I didn’t see any advantage in spending extra $50 for free cellular when all you get is free Wikipedia and the Amazon store data on the cellular. With a cell phone with unlimited data, I didn’t see the benefit in spending the extra money."
Edson W. Kempe,4,"August 23, 2020",Reviewed in the United States,"I have had many versions of the Kindle, and this is my second Oasis. They have been more than satisfactory, as is this one, but it does have a couple of quirks. If you read more than two hours a day, even if you are careful and only use the internet as briefly as possible and do not exceed the mid lightness position, a week to ten days is the max on a charge; certainly adequate but not ""weeks."" Due to the variation in thickness, if the device is placed on a flat surface to read, best change pages by tapping the screen, not pressing the buttons. Using the buttons will rock the device and provide an uncertain result. If holding it in the hands to read do not hold it by or have a finger on the black area to the left of the reading area. Otherwise a small inadvertent squeeze on the black area on the right will send you to what seems to be a random location earlier in the copy or article you are reading. And while not a drawback, I have been unable to figure out the purpose of ""warming"" the screen. My lack of imagination, no doubt."
M. lewis,5,"March 29, 2020",Reviewed in the United States,"I’d hesitated to buy this because it’s expensive. I loved my Paperwhite and Fire, and thought, “How much better could the Oasis be, really”?It is THAT much better! Virtually perfect, as far as I can see!"
Jules T.,5,"January 6, 2020",Reviewed in the United States,"I am thrilled with this Oasis! I thought long and hard before buying this and read a million reviews before deciding to go for it, many of which made me nervous. So many people have said that it's overpriced for what it is or that it feels flimsy, but in my opinion, it is well worth what I paid for it. For those that complain about the micro-usb for recharging instead of the usb-c connector, who cares? lol As long as it charges, I don't care what kind of cable it needs. I have congenital cataracts and I'm prone to migraines, both of which make me sensitive to cool bright white light, so the warm light option with the ability to dim the light as needed on the new Oasis was an absolute must. I love to read and relax in the tub so the waterproof aspect of this Kindle was very important. I bought the blue water-safe cover that Amazon makes for it as well. It's such a relief to no longer fear dropping my device in the water accidentally, although I have no plans to actually test whether it actually is waterproof, lol.  Holding it is a dream - it's not heavy at all but is a perfect weight (and it does not feel flimsy!), and the way the back is shaped lets it rest easily in one hand. The page forward and page back buttons are awesome -  I always hated having to swipe pages to turn them on other devices. I can switch hands easily as the screen rotates automatically. I have checked out ebooks from my local library and bought some Kindle books as well, and all of them loaded to my Kindle with no issues. I'm using Amazon's payment plan to pay for it, which is amazing, so I didn't have to pay for it all at once. I have absolutely no regrets about buying this device!"
thisismaggie,5,"October 12, 2019",Reviewed in the United States,"I have nothing bad to say about this product - there are a fair number of negative reviews but I have not experienced anything negative. My previous Kindle was from 2014 (I believe) so it had no backlighting, was much thicker, the touchscreen was more faulty and less fast, there were no buttons, etc. This new one is fast, the touchscreen works great, and I loooooove the ability to customize the backlighting (brightness and warmth). I also really like that the screen flips so you can pass it to your right/left hand. A few other features I like are the ability to turn off the touchscreen (so you don't have to worry about it when you're in the groove of reading), and the ability to see the book cover vs. list of books in your library. I am 150% satisfied with this purchase and would highly recommend to anyone."
Zike,3,"May 25, 2020",Reviewed in the United States,"the first thing you realize is it's half or a third shorter than the old Kindle I had. Then there's the fact it's in black and white - which shouldn't mean much except on my Iphone the kindle app does show colors. But really, then you get right down to it, it's a luxury item when people are starving and worse in these times so these are far from anything other than embarrassing little comments and really, I should be thankful and I am that on this Memorial Day 2020 here in time and place where the future is unwritten and uncertain, I have a relatively modern convenience in my hand - that can hold more books that I can read and provide me the convenience to read 24/7.  Yes, if you're reading this and I work with you, even on work books I've purchased and in fact, sadly or valiantly, I have quite a few of those! Stay safe. Heed science. Appreciate technology."
Rmill,2,"December 5, 2019",Reviewed in the United States,"I bought the new kindle oasis to take the place of my perfectly fine paper white. I just thought I deserved the top of the line kindle with all the reading I do. I am Not at all impressed with the battery life of this new kindle oasis. I get about 3 days of reading in before I have to recharge it. That is with WiFi turned off, brightness set at 7 and reading for roughly 3 hours a night. After spending $297.00 after tax, I am very very disappointed in this device. I thought about contacting Amazon for a replacement, but they replace your brand new devices with refurbished ones. I don’t think that’s cool since it’s less than a month old. Until the battery drain issue is resolved, I would not recommend purchasing this.I do love the design and the build. It’s unfortunate it doesn’t come remotely close to what the specs says it will do before charging...."
cristin,2,"January 3, 2021",Reviewed in the United States,"I use this mainly for reading library books. Its hard to navigate to the books I've downloaded. Pretty sure this is done by design so you will pay Amazon for book downloads. I tried the free trial of Kindle Unlimited and most of the books I wanted to read still had to be paid for. It doesn't appear to download Epub books either.I ordered this because I thought it was supposed to have blue light filtering, I guess it does but I really can't tell the difference. I also thought this would have a deeper black and white contrast for reading at night but when I switch to the black screen its really more of a gray screen and still very bright.Even at the largest text size I still need reading glasses at night with this (I use the the 1.5x drugstore reading glasses) though I can read with no problem during the day.At the end of the day a regular tablet would have been more versatile and I wouldn't have to check out books from my phone to push them to the Kindle."
Cindy Duncan,5,"December 11, 2019",Reviewed in the United States,"I was hesitant to upgrade from my 3rd generation kindle keyboard because of the lack of a keyboard but I LOVE this kindle. The touchscreen makes the keyboard unnecessary and the backlight feature is wonderful. I did want the side buttons which is why I chose this version. You can flip it over to use the buttons on either side depending on how you are holding it.  Or you can tap the screen to advance the page. But the combination of all those features for me make it the perfect upgrade and I don't regret it at all. Battery life seems fine to me, usually about two weeks with me reading a little every day. Seems to charge pretty quickly as well. Highly recommend especially for those with the older kindle."
Tabitha Smith,5,"April 5, 2021",Reviewed in the United States,"This is my very first e-reader. I wasn't sure which one I would go with but after doing my own research I decided on the Kindle Oasis for the bigger screen, the extra LEDS, and the page turning buttons. I love reading but its getting harder for me to do because of my eyes not being as good as they used to be. I get migraines frequently and when I try to read conventional books, the extra eye strain makes those migraines worse and/or come about more often. It's also getting harder to hold books for longer periods of time due to joint pains in my hands so instead of putting my books away for good, I decided to try an E-Reader. I ordered this product and it came about 2 days later, so shipping was fast and reliable. Everything came in perfect working order and it was easy to set up. I am already a Prime member so everything I needed to get started getting my paper book collection in ebook form was just a few clicks away. The customization on the brightness level is great. I can read in low to no light or bright light with no problem. Font sizes can be changed for me to see the words easier and bookmarking where I've left off is a breeze. I am really loving this e-reader and wish I had gotten it much sooner. I would 100% recommend this product to anyone with similar problems as me, or anyone for that matter who loves to read as it is so portable and easy to take all my books wherever I go."
Kindle Customer,3,"November 28, 2020",Reviewed in the United States,"Battery life is okay at best and I think the battery meter is unreliable sometimes.  The screen saver is an eyesore.  It grows ugly and tedious after a while.  I opted for no ads because the ads were even worse so the extra twenty dollars was worth it to me.The most frustrating thing though is that sometimes when I tap the screen to advance the page in a book it randomly jumps to a place near the beginning of the book.  Occasionally tapping ""Back"" on the top menu will return my to  the proper location, but not always and then it doesn't remember my place in the book."
LGS625,4,"August 5, 2019",Reviewed in the United States,"I was looking for a waterproof e-reader to replace my Barnes and Noble Nook that frequently overheats outdoors, thereby rendering it unusable just when I want to ready most at the pool or on the patio.. I also found that I was constantly touching the wrong spots on the Nook screen and closing my books accidentally. The design of the Kindle Oasis is easier to hold without accidentally turning pages or returning to the home screen. I love the option to use the buttons to turn the pages. It makes it easier to manage with just one hand. I also find it much easier to check out books from my local library on the Kindle. So far, the book hasn't overheated outside. Fortunately, I haven't had to test the waterproof capabilities. The warm light is nice for bedtime reading. So far, so good. The only criticism I have is that it does not come with a charger you can plug into the wall. I was able to find one that works, but for the price, this item should include its own charger."
Kep,5,"August 10, 2019",Reviewed in the United States,"I loved my old Kindle, but it was slow and kinda unconfirmed to hold for long periods of time. Not the case with the new 2019 Oasis. This thing is super responsive to touch and rotation. I actually use the hardware buttons more than I expected for turning pages, just because they're right where my thumb is resting naturally. The little bump in the back feels more like holding a folded book. I take this to the gym every day and read for a couple hours while I'm jogging on the treadmill - helps keep me going, as I always want to finish just one more chapter, which results in extra exercise and better commitment to my fitness goals."
Chris R. Johnson,4,"April 20, 2021",Reviewed in the United States,"I was an early adopter of the Kindle and have owned several.  Once the iPad Pros came out, I switched to reading on the iPad with the Kindle app.  Since I always read/work using Dark Mode on my Macs and iPads, when I saw that the Kindle Oasis had a warm light I decided to give it a try.  I like the warm light on the Oasis, it definitely helps reduce eye strain.  The main negatives are the sluggish speed due to an under powered processor and the dark mode is too dark and does not provide enough contrast.  Hopefully, Amazon will address both of these issues in future versions.  I would also very much like to see Kindle be able to connect to Dropbox directly (which is a feature in the new Kobos)."
Ginny L.,5,"April 27, 2021",Reviewed in the United States,"I chose the Oasis over the Paperwhite because it is large enough to make me feel like I'm reading a book and I have room to make the print as comfortably large as I want without adding numerous page turns. Speaking of page turns, the turn button is so convenient and ensures that I don't leap ahead or back unintentionally. Being able to set the brightness of the screen, the warmth of the background, the size of the type, and being able to flip it open (I got the leather cover too) in the middle of the night and read without turning on a light is so convenient.The ability to access word definitions, Wikipedia, and more right from my reading screen are wonderful and it's light weight means I can take it with me easily and I always have a book with me!Some people have complained about the battery life. My Oasis has days' long battery storage and recharges quickly.I'm very pleased with my choice and would do it again."
Cynthia Miller,5,"January 28, 2020",Reviewed in the United States,"This is the fourth Kindle I've owned.  My first was a DX purchased in 2009; the second was a Touch purchased in 2011, my third was a gift of a Voyage in 2015 and finally my Oasis.  I've been interesting in book readers since I read about the possibility of their production in an editorial in a science fiction magazine in the 80s.  The selling point was the ability to change the size of the text for the elderly and the visual impaired.  Amazon has done a fabulous job with this as well as the ease of reading on their Kindles.  I got the Touch so my dad could use the DX.  I liked the Touch because it was lighter than the DX however it wasn't backlit which I thought was a great improvement when I saw a backlit Nook.  The DX got to heavy for my dad so I gave him my Touch and my husband gave me the Voyage which I was happy with the back lighting however I didn't care for how it adjusted the lighting so I turned that feature off.  I got my husband an Oasis in 2017 when the DX got too heavy for him and he loved it so much that he bought one for his brother-in-law to use when he was recovering from hip surgery.  The buttons on my Voyage started to act flaky in mid 2019 so a put an Oasis on my wishlist.  My only hesitation is it looked like it was designed for right handed people.  I thought it was so cool when I got mine and the screen flips so you can hold it and use the buttons left handed.  I decided to try the new adaptable lighting and so far it is a major improvement to what was on my Voyage."
